clase,precision,recall,f1-score,support
THCA,1.0,1.0,1.0,76.0
PRAD,1.0,1.0,1.0,76.0
SKCM,1.0,1.0,1.0,15.0
BRCA,1.0,0.9879518072289156,0.9939393939393939,166.0
OV,0.9846153846153847,1.0,0.9922480620155039,64.0
LIHC,0.9821428571428571,1.0,0.990990990990991,55.0
COAD,1.0,0.9726027397260274,0.9861111111111112,73.0
LGG,1.0,0.9615384615384616,0.9803921568627451,78.0
UCEC,0.9876543209876543,0.963855421686747,0.975609756097561,83.0
KIRC,1.0,0.9506172839506173,0.9746835443037974,81.0
GBM,0.9347826086956522,1.0,0.9662921348314607,43.0
STAD,0.9523809523809523,0.967741935483871,0.96,62.0
KIRP,0.9148936170212766,1.0,0.9555555555555556,43.0
LUAD,0.9625,0.9390243902439024,0.9506172839506173,82.0
HNSC,0.9058823529411765,0.9871794871794872,0.9447852760736196,78.0
BLCA,0.9666666666666667,0.90625,0.9354838709677419,64.0
LUSC,0.9210526315789473,0.9333333333333333,0.9271523178807947,75.0
CESC,0.9130434782608695,0.9333333333333333,0.9230769230769231,45.0
